"","V1","V2","V3","V4"
"1",0.000738367657272055,6.04585580251569e-15,1.14983699114335e-05,-38.9415452625908
"2",0.0126520967255034,0.0243779122406856,0.00586877507894525,-18.9879495451982
"3",1.91147815266717e-05,5.79690221393518e-06,1.19035325399319e-05,0.94922889774931
"4",1.52685278845494e-06,8.32796129522674e-05,0.0214682155159974,-14.5991461386472
"5",1.58967089021315e-05,1.09483460028893e-05,9.71992342802156e-06,0.947680212064187
"6",4.233128824449e-05,0.00867203055998486,0.00860208249965963,-6.98334007988887
"7",0.0207611521012099,1.73822477736083e-06,0.0104764354533806,-14.6555159196343
"8",0.00347382913986072,0.0175259366219023,0.0104871514134957,-15.9799384133019
"9",7.99239796639377e-05,7.99239796639426e-05,2.08950703470997e-07,0.869902497851141
"10",6.69124874617317e-07,9.46414914410968e-05,4.30100944559531e-05,-104.887423806128
"11",5.85499358860312e-05,7.26796720911215e-05,0.0125337825422033,-11.0845246485295
"12",3.13670604391544e-08,0.00846749471591427,0.0123280098944543,-11.4672001259513
"13",1.15778896227615e-07,9.54684484773535e-05,1.58000808975212e-05,-112.809799537042
"14",0.0378593720541666,4.76511189929103e-10,0.0197323399223744,-25.0664765420249
"15",1.12693390254600e-09,0.00025609835807889,0.0671806134621955,-39.6159805591529
"16",1.50141720500845e-05,4.09761446869818e-05,0.012126419454137,-10.7030494751666
"17",0.000108456847984439,0.000108464822720206,1.4169018195509e-05,0.811818721989832
"18",7.76201164684703e-06,5.95880393810605e-05,0.0121326644039142,-10.7198674081452
"19",8.9737117920147e-05,8.97551426358171e-05,1.97634712103545e-05,0.830733420439058
"20",5.92019098863564e-05,5.92887269818337e-05,2.72604303008331e-07,0.898635260354606
"21",1.01876312380895e-05,4.64651250049067e-05,0.0121268783854366,-10.6301114397898
"22",6.77458453303461e-06,5.22144260154662e-05,0.0121282045342581,-10.6329827636085
"23",0.000191477084488826,9.34108396812558e-07,0.0121959252478062,-10.6010218187531
"24",0.000128682362144894,0.00014840743369013,1.58015648845578e-05,0.750388951593713
"25",0.000499745401112379,0.000499745401112379,2.08298265762531e-07,0.359539727576903
"26",0.000236410074394418,0.000241976046572224,5.88246469683137e-06,0.645295371758294
"27",0.0011246091185308,0.00127193446622264,7.67510402178321e-05,-0.603136227446492
"28",2.7916807087758e-09,1.0654435422443e-05,0.000223451973245823,0.528559768553883
"29",6.40714245448576e-05,6.41353069360695e-05,2.55432714484123e-07,0.89052709529956
"30",7.49871968556973e-06,5.68961528173296e-08,0.000197571805056637,0.566770133971818
"31",0.0625337316058799,0.0625340951394732,2.15854068339461e-05,-127.30105821127
"32",0.000177650394233635,0.010792388348806,0.012964411015518,-10.5792850310333
"33",7.01747552889549e-05,7.02110279736814e-05,2.08647854905708e-05,0.852583113293365
"34",5.03077044349069e-05,5.04183476838055e-05,2.91115179553987e-07,0.912426400543467
"35",8.37368335275351e-05,1.7249269446399e-05,1.88114407357887e-05,-101.01672689769
"36",6.97694083182548e-05,6.97694083184366e-05,2.08966506774667e-07,0.892327601163917
